collision_year,sex_of_driver,n
1979,Female,11968
1979,Male,50963
1980,Female,12510
1980,Male,48997
1981,Female,12450
1981,Male,47446
1982,Female,13455
1982,Male,49414
1983,Female,14649
1983,Male,51965
1984,Female,15580
1984,Male,53019
1985,Female,15108
1985,Male,49361
1986,Female,15391
1986,Male,48669
1987,Female,15280
1987,Male,46537
1988,Female,16096
1988,Male,47342
1989,Female,17730
1989,Male,48925
1990,Female,17933
1990,Male,48453
1991,Female,16996
1991,Male,43458
1992,Female,16921
1992,Male,42373
1993,Female,16182
1993,Male,39935
1994,Female,16975
1994,Male,40398
1995,Female,17023
1995,Male,39421
1996,Female,16998
1996,Male,38477
1997,Female,17067
1997,Male,37543
1998,Female,16872
1998,Male,36005
1999,Female,16263
1999,Male,33951
2000,Female,15456
2000,Male,31668
2001,Female,14500
2001,Male,29855
2002,Female,13762
2002,Male,27903
2003,Female,13070
2003,Male,26147
2004,Female,12765
2004,Male,25212
2005,Female,12566
2005,Male,24673
2006,Female,11793
2006,Male,23190
2007,Female,11834
2007,Male,22352
2008,Female,11294
2008,Male,21485
2009,Female,11433
2009,Male,20961
2010,Female,10933
2010,Male,20324
2011,Female,11745
2011,Male,21084
2012,Female,11235
2012,Male,20883
2013,Female,10935
2013,Male,20273
2014,Female,11713
2014,Male,21305
2015,Female,10813
2015,Male,19752
2016,Female,10287
2016,Male,19209
2017,Female,10043
2017,Male,18690
2018,Female,9414
2018,Male,17142
2019,Female,8999
2019,Male,15938
2020,Female,6851
2020,Male,12780
2021,Female,7286
2021,Male,13007
2022,Female,7910
2022,Male,13603
2023,Female,7702
2023,Male,13236
2024,Female,7381
2024,Male,12723
2025,Female,7670
2025,Male,13290
